sock_write_iter,sockfd_lookup_light,sock_alloc_inode,sock_alloc,sock_alloc_file,move_addr_to_user,SYSC_getsockname,SyS_getsockname,SYSC_accept4,sock_destroy_inode,sock_read_iter,sock_recvmsg,__sock_release,SyS_accept4,SyS_shutdown,sock_close,sock_write_iter_count,sockfd_lookup_light_count,sock_alloc_inode_count,sock_alloc_count,sock_alloc_file_count,move_addr_to_user_count,SYSC_getsockname_count,SyS_getsockname_count,SYSC_accept4_count,sock_destroy_inode_count,sock_read_iter_count,sock_recvmsg_count,__sock_release_count,SyS_accept4_count,SyS_shutdown_count,sock_close_count,class
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,49,0,0,0,0,0,4,0,0,4,27,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 7,50,0,0,0,0,0,4,0,0,4,29,0,0,45,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,49,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,72,0,0,0,0,0,4,0,0,3,27,0,0,35,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,3,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,63,0,0,0,0,0,4,0,0,3,27,0,0,32,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,52,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,49,0,0,0,0,0,4,0,0,4,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,4,54,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 3,27,0,0,0,0,0,2,0,0,2,37,0,0,13,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 8,63,0,0,0,0,0,5,0,0,7,37,0,0,33,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,3,0,0,4,28,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,52,0,0,0,0,0,4,0,0,4,31,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,50,0,0,0,0,0,4,0,0,3,30,0,0,34,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,4,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 3,27,0,0,0,0,0,2,0,0,2,27,0,0,12,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,53,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,49,0,0,0,0,0,4,0,0,4,28,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,3,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,48,0,0,0,0,0,4,0,0,4,26,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,3,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 4,33,0,0,0,0,0,2,0,0,2,16,0,0,13,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,3,0,0,4,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,49,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,52,0,0,0,0,0,3,0,0,4,28,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,49,0,0,0,0,0,3,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 4,42,0,0,0,0,0,3,0,0,3,23,0,0,19,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 7,50,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,4,42,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,49,0,0,0,0,0,4,0,0,4,28,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 11,54,0,0,0,0,0,4,0,0,4,29,0,0,25,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 11,53,0,0,0,0,0,4,0,0,5,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 34,53,0,0,0,0,0,4,0,0,4,28,0,0,35,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,49,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 11,53,0,0,0,0,0,4,0,0,4,28,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,3,27,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,49,0,0,0,0,0,4,0,0,4,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,47,0,0,0,0,0,3,0,0,4,28,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 11,55,0,0,0,0,0,3,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,71,0,0,0,0,0,4,0,0,4,29,0,0,25,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,49,0,0,0,0,0,4,0,0,4,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 12,51,0,0,0,0,0,4,0,0,4,48,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 7,49,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 11,52,0,0,0,0,0,4,0,0,4,40,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 11,53,0,0,0,0,0,4,0,0,4,28,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 10,55,0,0,0,0,0,4,0,0,3,27,0,0,40,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 7,50,0,0,0,0,0,4,0,0,4,39,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,48,0,0,0,0,0,4,0,0,3,27,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,51,0,0,0,0,0,4,0,0,3,28,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,47,0,0,0,0,0,3,0,0,4,27,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,3,0,0,4,35,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,55,0,0,0,0,0,4,0,0,4,26,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,56,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,55,0,0,0,0,0,4,0,0,4,29,0,0,54,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,59,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,3,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,52,0,0,0,0,0,4,0,0,3,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,62,0,0,0,0,0,4,0,0,4,39,0,0,54,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,56,0,0,0,0,0,4,0,0,4,39,0,0,34,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,48,0,0,0,0,0,4,0,0,4,27,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,45,0,0,0,0,0,3,0,0,4,27,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,4,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 9,51,0,0,0,0,0,4,0,0,4,28,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,3,0,0,4,28,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,51,0,0,0,0,0,4,0,0,4,29,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,3,0,0,3,28,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,5,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,49,0,0,0,0,0,3,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,54,0,0,0,0,0,4,0,0,4,29,0,0,55,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 11,54,0,0,0,0,0,4,0,0,3,28,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,50,0,0,0,0,0,4,0,0,4,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,3,0,0,4,29,0,0,34,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,39,0,0,0,0,0,4,0,0,4,39,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 10,53,0,0,0,0,0,3,0,0,3,34,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,51,0,0,0,0,0,3,0,0,4,31,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,3,0,0,4,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,49,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,26,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,3,30,0,0,25,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,84,0,0,0,0,0,3,0,0,4,29,0,0,36,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,26,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,3,0,0,4,27,0,0,33,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 11,55,0,0,0,0,0,4,0,0,3,28,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,3,0,0,4,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,3,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,49,0,0,0,0,0,3,0,0,3,27,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,40,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,60,0,0,0,0,0,4,0,0,4,30,0,0,47,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,46,0,0,0,0,0,4,0,0,4,26,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,3,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,49,0,0,0,0,0,4,0,0,4,27,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,82,0,0,0,0,0,4,0,0,3,29,0,0,35,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,3,0,0,4,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,3,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,31,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 11,52,0,0,0,0,0,5,0,0,4,29,0,0,25,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,5,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,3,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,62,0,0,0,0,0,4,0,0,4,27,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,3,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,5,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,4,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,3,0,0,3,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 10,50,0,0,0,0,0,4,0,0,4,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 10,54,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,3,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,5,0,0,5,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,28,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,3,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 11,52,0,0,0,0,0,3,0,0,4,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,3,0,0,4,29,0,0,25,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,3,0,0,4,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,3,0,0,3,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,4,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,4,28,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,3,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 11,52,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,3,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,49,0,0,0,0,0,4,0,0,4,26,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,3,0,0,4,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,74,0,0,0,0,0,4,0,0,4,27,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,31,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,49,0,0,0,0,0,3,0,0,3,28,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,4,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 7,52,0,0,0,0,0,4,0,0,4,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,4,30,0,0,56,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 8,51,0,0,0,0,0,4,0,0,4,30,0,0,34,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,4,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,3,0,0,4,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,52,0,0,0,0,0,11,0,0,5,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,3,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,28,0,0,43,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,52,0,0,0,0,0,4,0,0,4,29,0,0,44,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,56,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,3,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,3,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,4,47,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,3,0,0,4,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,48,0,0,0,0,0,3,0,0,4,27,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,3,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,50,0,0,0,0,0,3,0,0,4,27,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 10,53,0,0,0,0,0,3,0,0,4,31,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 21,54,0,0,0,0,0,4,0,0,4,30,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,5,0,0,5,39,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,26,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,51,0,0,0,0,0,4,0,0,4,29,0,0,35,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,3,0,0,4,27,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,30,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 11,52,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,3,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,50,0,0,0,0,0,4,0,0,4,27,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,5,39,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,28,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,26,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,49,0,0,0,0,0,4,0,0,4,28,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,63,0,0,0,0,0,4,0,0,3,30,0,0,32,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 7,50,0,0,0,0,0,4,0,0,3,36,0,0,34,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,3,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,26,0,0,22,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 5,38,0,0,0,0,0,3,0,0,4,30,0,0,21,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 12,54,0,0,0,0,0,4,0,0,3,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,3,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,51,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,3,0,0,6,30,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,50,0,0,0,0,0,4,0,0,4,29,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,3,0,0,3,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 8,91,0,0,0,0,0,4,0,0,3,29,0,0,43,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,52,0,0,0,0,0,4,0,0,4,52,0,0,24,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
 6,49,0,0,0,0,0,4,0,0,4,29,0,0,23,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
